0c,1e,3f,2f,3f,2f,08,01,05,2f,4a,2d,7c,6e,4c,2e,48,05,3f,3f
3c,2e,cc,01,19,2e,44,00,02,08,02,0a,1f,1f,0c,3e,07,06,18,15
1f,4f,1f,0a,4c,0e,07,03,36,04,02,0a,4d,2d,4c,5e,4c,2e,47,06
08,01,05,3b,08,01,05,4d,1d,0b,0a,0a,0a,0a,48,0e,0c,3e,08,05
04,00,22,ff,44,00,02,0a,0a,08,02,0a,0a,0a,0a,2d,4c,5e,77,36
07,03,06,1d,07,03,06,0a,0a,04,02,0a,0a,0a,0a,0a,4c,0e,1f,1f
2f,3c,09,02,1f,0d,0c,05,0a,04,06,0a,0a,0a,0a,0a,7c,6e,48,05
08,11,05,04,25,aa,48,05,3b,04,05,0a,0a,0a,0a,0a,1d,1d,37,36
07,03,06,07,06,3b,07,06,1f,04,02,0a,0a,0a,0a,0a,0b,0a,1f,1f
0c,09,09,09,09,19,09,09,09,00,02,3b,0b,3b,0b,3b,2f,3b,0c,1e
0c,09,09,09,09,09,09,09,0e,04,03,19,09,19,09,19,09,19,09,2e
08,09,09,01,09,09,01,09,2e,4b,0d,08,09,09,09,09,01,09,09,0e
0a,08,05,0a,08,0e,3b,0c,05,08,02,0a,2f,3f,4c,05,0a,08,09,05
0a,04,02,0a,0a,08,11,05,0a,04,02,0a,1f,2f,3f,3b,0a,0a,0a,0a
0a,04,02,0a,0a,07,03,06,0a,04,02,0a,1f,2f,88,15,0a,0a,0a,0a
0a,04,06,3b,07,01,01,01,02,04,02,0a,1f,2f,44,02,4a,0a,0a,0a
0a,0a,08,11,05,04,03,03,06,04,02,0a,1f,2f,77,36,0b,0a,0a,0a
0a,0a,07,03,06,0a,08,01,05,04,02,0a,1f,4f,4f,df,4c,06,0a,0a
0a,07,09,09,09,36,07,33,06,04,02,07,09,09,09,09,09,09,09,3b
07,09,09,09,09,09,09,19,0e,07,02,4c,09,09,09,09,09,09,09,0e
